[2025-05-27 19:16:55] [INFO] - EXCHANGE: BINANCE
[2025-05-27 19:16:55] [INFO] - PAR DE TRADING: ETH/USDT
[2025-05-27 19:16:55] [INFO] - TEMPORALIDAD: 45m
[2025-05-27 19:16:55] [INFO] - DURACION: Ultimas 144 horas
[2025-05-27 19:16:55] [INFO] - Solicitando datos OHLCV desde BINANCE (ETH/USDT) en temporalidad 45m por 144 hs...
[2025-05-27 19:16:58] [INFO] - Datos OHLCV correctamente obtenidos y recortados.
[2025-05-27 19:17:01] [INFO] - Archivo exportado: core/exports\analysis_20250527_191701.csv
[2025-05-27 19:20:41] [INFO] - EXCHANGE: BINANCE
[2025-05-27 19:20:41] [INFO] - PAR DE TRADING: ETH/USDT
[2025-05-27 19:20:41] [INFO] - TEMPORALIDAD: 45m
[2025-05-27 19:20:41] [INFO] - DURACION: Ultimas 144 horas
[2025-05-27 19:20:41] [INFO] - Solicitando datos OHLCV desde BINANCE (ETH/USDT) en temporalidad 45m por 144 hs...
[2025-05-27 19:20:44] [INFO] - Datos OHLCV correctamente obtenidos y recortados.
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 25: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 26: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 27: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 28: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 29: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 30: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 31: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 32: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 33: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 34: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 35: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 36: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 37: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 38: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 39: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 40: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 41: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 42: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 43: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 44: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 45: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 46: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 47: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 48: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 49: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 50: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 51: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 52: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 53: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 54: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 55: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 56: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 57: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 58: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 59: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 60: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 61: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 62: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 63: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 64: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 65: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 66: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 67: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 68: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 69: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 70: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 71: 0
[2025-05-27 19:20:44] [WARNING] - Error en signals para índice 72: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 73: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 74: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 75: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 76: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 77: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 78: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 79: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 80: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 81: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 82: 0
[2025-05-27 19:20:45] [WARNING] - Error en signals para índice 83: 0
